page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
7.0,54.142857,1.4285715,1.1428572,2.0,2.1666667,1.0,0.0,1.0,0.02388889,2.5714285,0.06601885,7.0,0.0
6.0,55.166668,1.6666666,1.3333334,2.0,2.2,1.0,0.0,1.0,0.021805555,3.0,0.06650743,6.1666665,0.0
4.0,132.25,1.75,1.5,2.0,2.3333333,1.0,0.0,1.0,0.038472224,3.25,0.04877782,9.25,0.23095068
7.0,54.42857,1.1428572,1.5714285,2.0,2.1666667,1.0,0.0,1.0,0.023472222,2.7142856,0.057418544,7.714286,0.0
6.0,82.166664,1.3333334,1.1666666,2.0,2.2,1.0,0.0,1.0,0.027986111,2.5,0.059292592,7.6666665,0.11791583
6.0,83.75,1.3333334,1.3333334,1.1666666,1.4,1.0,0.0,1.0,0.030277777,2.6666667,0.061859403,6.5,-0.14747989
8.0,40.6875,0.875,1.0,1.5,1.5714285,1.0,0.0,1.0,0.019027777,1.875,0.06580255,5.5,0.0
6.0,39.5,1.0,0.6666667,2.0,2.2,1.0,0.0,1.0,0.013263889,1.6666666,0.060630023,5.3333335,0.16417734
6.0,160.33333,1.1666666,1.0,2.0,2.2,1.0,0.0,1.0,0.0475,2.1666667,0.06926733,6.5,0.15658396
7.0,48.42857,1.1428572,1.1428572,1.0,1.5,1.0,0.0,1.0,0.022430556,2.2857144,0.061308246,5.142857,0.0
8.0,51.75,1.125,0.875,1.875,2.0,1.0,0.0,1.0,0.029375,2.0,0.06969218,6.5,0.16754973
5.0,150.8,2.4,1.2,1.8,2.25,1.0,0.0,1.0,0.041944444,3.6,0.034361254,10.2,0.19450748
6.0,151.5,1.6666666,1.6666666,1.5,1.8,1.0,0.0,1.0,0.055416666,3.3333333,0.046714272,10.0,0.0
6.0,32.0,1.3333334,1.0,1.0,2.2,1.0,0.0,1.0,0.014930556,2.3333333,0.06601122,5.3333335,0.0
7.0,41.142857,1.5714285,1.2857143,1.7142857,2.0,1.0,0.0,1.0,0.017916666,2.857143,0.05044658,7.571429,0.0
